id,filename,url,caption,emperor_id,war_id,architecture_id,literature_id,artifact_id
1,Basil I,/static/images/macedonians/Basil_I.png,Portrait from the illuminated manuscript Paris Gregory,1,,,,
2,Leo VI,/static/images/macedonians/Leo_VI.jpg,Mosaic Portrait in Hagia Sophia,2,,,,
3,Alexander,/static/images/macedonians/Alexandros.jpg,Mosaic Portrait in Hagia Sophia,3,,,,
4,Constantine X Doukas,/static/images/Constantine_X_full_portrait.jpg,Portrait of Constantine X Doukas,4,,,,
5,Alexios I Komnenos,/static/images/Alexios_I_Komnenos.jpg,Portrait of Alexios I Komnenos,5,,,,
6,Michael VIII Palaiologos,/static/images/Miniature_of_Michael_VIII.png,Portrait of Michael VIII Palaiologos,6,,,,
7,Isaac II Angelos,/static/images/144_-_Isaac_II_Angelos_(Mutinensis_-_color).png,Portrait of Isaac II Angelos,7,,,,
8,John II Komnenos,/static/images/Jean_II_Comnene.jpg,Portrait of John II Komnenos,8,,,,
9,Andronikos II,/static/images/Miniature_of_Andronikos_II.png,Portrait of Andronikos II,9,,,,
10,Battle of Kleidon,/static/images/wars/Basil_win.jpg,Basil II defeats the Bulgarian Tsar,,1,,,
11,Fortifications at Peritheorion,/static/images/wars/20120519_north_view_Anastasioupolis_Perithorio_Amaksades_Rhodope_West_Thrace_Greece.jpg,"Fortifications at Peritheorion, West Thrace, Greece",,2,,,
12,Hagia Sophia,/static/images/culture/Hagia_Sophia.jpg,"Hagia Sophia, February 2024",,,1,,
13,Madrid Skylitzes,/static/images/culture/manuscript_1.jpg,The defeat of George I of Georgia by Basil II,,,,1,
14,Holy Crown of Hungary,/static/images/culture/Hungarian_Parliament_002_-_Flickr_-_granada_turnier.jpg,"Holy Crown of Hungary, crafted in Constantinople",,,,,1
